name,state,red_votes_2016,red_votes_2020,lat,long,cases,deaths,population
Appling,GA,0.784,0.782,31.74847232,-82.28909114,1179,38,18471
Atkinson,GA,0.719,0.729,31.29633502,-82.87545866,486,6,8313
Bacon,GA,0.837,0.861,31.55456473,-82.45936528,640,16,11279
Baker,GA,0.538,0.577,31.32669878,-84.44218806,92,6,3251
Baldwin,GA,0.478,0.488,33.06882326,-83.24701748,2337,65,45527
Banks,GA,0.883,0.886,34.35607081,-83.49644388,574,8,18363
Barrow,GA,0.732,0.705,33.99148694,-83.71436292,2672,51,75099
Bartow,GA,0.761,0.747,34.23732119,-84.83887523,3714,96,102623
Ben Hill,GA,0.63,0.627,31.76095874,-83.22145359,887,34,17272
Berrien,GA,0.824,0.829,31.27590016,-83.2252992,503,14,19014
Bibb,GA,0.387,0.375,32.80904227,-83.70489165,6707,200,153923
Bleckley,GA,0.753,0.758,32.43829035,-83.33035166,515,27,12779
Brantley,GA,0.885,0.903,31.19576557,-81.97743999,473,13,18411
Brooks,GA,0.587,0.6,30.83922642,-83.58303423,553,26,15629
Bryan,GA,0.698,0.667,32.00979311,-81.44002948,1313,16,34883
Bulloch,GA,0.599,0.611,32.39577406,-81.74811421,3128,33,73742
Burke,GA,0.48,0.505,33.05917989,-81.99928721,901,12,22645
Butts,GA,0.709,0.713,33.2830945,-83.9543504,749,44,23556
Calhoun,GA,0.41,0.421,31.53169785,-84.62725131,277,10,6503
Camden,GA,0.653,0.644,30.92951916,-81.66601818,1459,18,52252
Candler,GA,0.708,0.707,32.40209349,-82.07702563,550,25,10894
Carroll,GA,0.685,0.688,33.58138199,-85.07976677,3428,77,114898
Catoosa,GA,0.787,0.77,34.89872298,-85.13757014,1493,23,65870
Charlton,GA,0.736,0.749,30.78371028,-82.13951596,649,10,12963
Chatham,GA,0.412,0.399,32.00043026,-81.12489526,9547,191,285506
Chattahoochee,GA,0.539,0.553,32.34341231,-84.78809239,1804,1,11096
Chattooga,GA,0.783,0.802,34.47197698,-85.34535662,976,29,24880
Cherokee,GA,0.727,0.688,34.24393976,-84.47431861,7364,102,235896
Clarke,GA,0.287,0.281,33.95436462,-83.37124007,5865,50,123554
Clay,GA,0.445,0.444,31.62221166,-84.97713865,124,3,3024
Clayton,GA,0.132,0.141,33.54187245,-84.35594188,8467,179,274150
Clinch,GA,0.706,0.735,30.91395822,-82.70432472,461,13,6788
Cobb,GA,0.467,0.42,33.94243204,-84.5761255,22375,459,739072
Coffee,GA,0.689,0.695,31.54892966,-82.8549206,2305,64,43048
Colquitt,GA,0.728,0.732,31.18810588,-83.7677946,2142,40,45890
Columbia,GA,0.671,0.621,33.54534185,-82.263524,4500,66,143723
Cook,GA,0.691,0.697,31.16068491,-83.42947229,614,16,17190
Coweta,GA,0.693,0.671,33.35334302,-84.76129976,3018,63,138015
Crawford,GA,0.704,0.726,32.71391813,-83.98061238,196,6,12385
Crisp,GA,0.605,0.619,31.92289565,-83.76811843,664,23,23005
Dade,GA,0.809,0.816,34.8549167,-85.50490424,376,6,16282
Dawson,GA,0.846,0.833,34.44244079,-84.16964071,927,11,23397
DeKalb,GA,0.161,0.157,33.76944049,-84.22396017,21678,403,736066
Decatur,GA,0.587,0.581,30.87967778,-84.57619536,1315,35,27023
Dodge,GA,0.718,0.724,32.17265114,-83.16948926,642,19,21063
Dooly,GA,0.506,0.526,32.15630737,-83.79746561,379,18,14053
Dougherty,GA,0.301,0.296,31.53328528,-84.21722377,3318,191,91522
Douglas,GA,0.432,0.368,33.70291126,-84.77026156,4204,73,140152
Early,GA,0.534,0.525,31.32155345,-84.90255207,558,35,10405
Echols,GA,0.856,0.872,30.71101099,-82.89687287,246,2,4011
Effingham,GA,0.764,0.739,32.36616021,-81.34280942,1863,29,57087
Elbert,GA,0.666,0.679,34.11302332,-82.83936148,769,10,19288
Emanuel,GA,0.68,0.69,32.59221302,-82.30239915,1216,39,22502
