name,red_votes_2016,blue_votes_2016,red_votes_2020,blue_votes_2020,lat,long,cases,deaths,population
Ochiltree,0.882,0.092,0.891,0.096,36.27829105,-100.8158184,338,5,10484
Dallam,0.82,0.145,0.864,0.122,36.27787176,-102.6020725,386,10,7207
Lipscomb,0.877,0.102,0.89,0.097,36.27783108,-100.2733151,74,1,3495
Sherman,0.865,0.103,0.894,0.092,36.27751473,-101.8933156,78,1,3067
Hansford,0.889,0.088,0.903,0.081,36.27743284,-101.3545796,199,6,5532
Hartley,0.888,0.088,0.899,0.094,35.84008013,-102.6029022,179,0,5821
Hutchinson,0.866,0.105,0.876,0.109,35.84006574,-101.3546643,338,7,21704
Roberts,0.953,0.036,0.962,0.031,35.83809685,-100.813175,15,0,889
Moore,0.755,0.208,0.792,0.192,35.83769242,-101.8930281,1352,22,22016
Hemphill,0.865,0.107,0.864,0.12,35.83764858,-100.2703577,156,1,4152
Oldham,0.899,0.083,0.909,0.08,35.40425596,-102.6027606,27,2,2083
Carson,0.889,0.085,0.892,0.094,35.40365929,-101.3542669,55,1,6033
Potter,0.688,0.269,0.685,0.297,35.40133773,-101.893964,8237,100,121230
Wheeler,0.905,0.084,0.924,0.072,35.40114335,-100.2699514,91,0,5599
Gray,0.882,0.095,0.88,0.106,35.40081878,-100.8129222,516,10,22962
Randall,0.806,0.155,0.786,0.198,34.96585996,-101.8971322,5483,59,130552
Deaf Smith,0.693,0.282,0.715,0.274,34.96522957,-102.6054267,1042,27,18947
Donley,0.839,0.13,0.873,0.12,34.96517499,-100.8140093,86,1,3433
Armstrong,0.909,0.069,0.931,0.067,34.96507426,-101.3574874,27,1,1929
Collingsworth,0.852,0.126,0.86,0.127,34.96489496,-100.2700111,21,0,3026
Hall,0.818,0.151,0.852,0.143,34.5307555,-100.6813852,44,1,3102
Swisher,0.763,0.211,0.783,0.203,34.53028891,-101.7349174,161,5,7541
Briscoe,0.851,0.124,0.883,0.106,34.53026962,-101.2084947,25,1,1591
Castro,0.708,0.264,0.769,0.224,34.53016752,-102.2617243,320,7,7891
Parmer,0.678,0.301,0.806,0.184,34.52993409,-102.7844668,579,19,9871
Childress,0.865,0.121,0.853,0.135,34.5293041,-100.2077916,125,0,7064
Hardeman,0.799,0.165,0.842,0.153,34.28944521,-99.74632408,63,3,3990
Wilbarger,0.772,0.197,0.779,0.211,34.07945812,-99.24178437,384,4,12972
Cottle,0.834,0.144,0.817,0.17,34.07783319,-100.2785062,40,3,1498
Motley,0.921,0.065,0.926,0.071,34.07408766,-100.779722,17,0,1114
Floyd,0.752,0.222,0.777,0.215,34.07227468,-101.3031546,128,9,5953
Hale,0.721,0.237,0.749,0.238,34.07044901,-101.8268114,2678,64,34527
Lamb,0.778,0.197,0.799,0.19,34.06859623,-102.3516289,574,24,13368
Bailey,0.753,0.223,0.771,0.22,34.06854817,-102.8299707,311,5,7098
Wichita,0.728,0.231,0.698,0.285,33.98842886,-98.7041034,4001,49,131778
Foard,0.75,0.221,0.808,0.18,33.97308618,-99.7767797,22,1,1414
Clay,0.873,0.107,0.883,0.107,33.78686685,-98.20771198,133,3,10369
Montague,0.875,0.103,0.878,0.112,33.67521893,-97.72500958,299,6,19406
Lamar,0.785,0.193,0.783,0.207,33.66981763,-95.57404777,1874,49,49401
